Product_ID,Category_ID,Brand,Name,Description,Ingredients,Price,Size,Stock,Image_URL,Recommended_Usage,is_active,created_at,updated_at,Keywords
101,1,Advil,Advil Ibuprofen Tablets 200 mg,"Advil Ibuprofen Tablets 200 mg provide fast and effective relief for headaches, muscle aches, toothaches, menstrual cramps, minor arthritis pain, and fever. Ibuprofen reduces inflammation at the source, making it one of the most widely used OTC pain relievers.","Ibuprofen 200 mg (NSAID) plus inactive ingredients such as croscarmellose sodium, microcrystalline cellulose, iron oxides, magnesium stearate, and pharmaceutical glaze.",8.99,"100 Tablets",150,"https://imgur.com/5m3FdpA","Adults and children 12+: take 1 tablet every 4–6 hours; may increase to 2 tablets if needed. Do not exceed 6 tablets in 24 hours.",TRUE,2025-10-28T21:50:00Z,2025-10-28T21:50:00Z,"ibuprofen,pain relief,NSAID,fever,Advil"
102,1,Tylenol,Tylenol Extra Strength Caplets 500 mg,"Tylenol Extra Strength provides fast relief from headaches, muscle aches, backache, toothache, menstrual cramps, and fever. Acetaminophen is gentle on the stomach and ideal for those who cannot take NSAIDs.","Acetaminophen 500 mg plus cellulose, croscarmellose sodium, povidone, titanium dioxide, and magnesium stearate.",7.49,"100 Caplets",200,"https://imgur.com/rIAxPtb","Adults: take 2 caplets every 6 hours; do not exceed 6 caplets per 24 hours.",TRUE,2025-10-28T21:50:00Z,2025-10-28T21:50:00Z,"acetaminophen,Tylenol,pain relief,fever"
103,2,Halls,Halls Honey Lemon Cough Drops,"Halls Honey Lemon Drops soothe sore throats and relieve cough with menthol’s cooling effect. Ideal for cold symptoms, throat irritation, and dryness.","Menthol 7.5 mg plus sugars, honey, citric acid, flavoring, and color additives.",4.99,"30 Lozenges",300,"https://imgur.com/C1wxWSr","Dissolve 1 drop in mouth every 2 hours as needed. Do not chew or swallow whole.",TRUE,2025-10-28T21:50:00Z,2025-10-28T21:50:00Z,"Halls,cough,sore throat,cold"
104,3,Nature Made,Nature Made Vitamin C 1000 mg,"Nature Made Vitamin C 1000 mg supports immune function and provides antioxidant benefits. It helps protect cells from damage and supports collagen production.","Vitamin C (ascorbic acid) 1000 mg plus cellulose gel, croscarmellose sodium, magnesium stearate, and silicon dioxide.",12.99,"120 Tablets",250,"https://imgur.com/BxyZyNs","Adults: take 1 tablet daily with water and a meal.",TRUE,2025-10-28T21:50:00Z,2025-10-28T21:50:00Z,"vitamin C,immune support,antioxidant"
105,4,Natrol,Natrol Melatonin 5 mg Fast Dissolve,"Natrol Melatonin 5 mg helps regulate sleep cycles and supports restful sleep. The fast-dissolve formula works quickly and can be taken without water.","Melatonin 5 mg plus natural flavors, sucralose, stearic acid, silicon dioxide, and other dissolving agents.",9.99,"90 Tablets",120,"https://imgur.com/U7UnCw5","Take 1 tablet 20–30 minutes before bed. Allow to dissolve in mouth.",TRUE,2025-10-28T21:50:00Z,2025-10-28T21:50:00Z,"melatonin,sleep aid,Natrol"
106,5,Claritin,Claritin 24 Hour Allergy Tablets 10 mg,"Claritin provides 24-hour relief from sneezing, runny nose, itchy/watery eyes, and itchy throat or nose. It is non-drowsy and suitable for indoor and outdoor allergies.","Loratadine 10 mg plus starches, lactose, and magnesium stearate.",14.49,"30 Tablets",80,"https://imgur.com/nSRxfYc","Adults and children 6+: take 1 tablet once daily.",TRUE,2025-10-28T21:50:00Z,2025-10-28T21:50:00Z,"allergy,Claritin,loratadine"
107,3,Vitafusion,Vitafusion Adult Multivitamin Gummies,"VitaFusion Adult Multivitamin Gummies deliver essential vitamins including A, C, D, E, B6, B12, biotin, folic acid, and zinc in delicious fruit flavors.","Vitamins A/C/D/E/B6/B12, biotin, zinc, plus gelatin/pectin, natural flavors, and sweeteners.",13.99,"120 Gummies",180,"https://imgur.com/T2MG60c","Adults: chew 2 gummies daily with or without food.",TRUE,2025-10-28T21:50:00Z,2025-10-28T21:50:00Z,"multivitamin,gummies,vitafusion"
108,3,Nature Made,Nature Made Fish Oil 1200 mg,"Nature Made Fish Oil 1200 mg provides omega-3s EPA and DHA to support heart, brain, and joint health. Sourced from wild ocean fish and purified for quality.","Fish Oil 1200 mg (EPA/DHA) plus gelatin, glycerin, tocopherols, and purified water.",14.99,"120 Softgels",130,"https://imgur.com/BxyZyNs","Adults: take 2 softgels daily with a meal.",TRUE,2025-10-28T21:50:00Z,2025-10-28T21:50:00Z,"fish oil,omega 3,Nature Made"
109,2,Robitussin,Robitussin DM Cough + Chest Congestion,"Robitussin DM combines a cough suppressant and expectorant to relieve cough and loosen mucus, helping make coughs more productive.","Dextromethorphan HBr 10 mg, Guaifenesin 100 mg per 5 mL plus sweeteners and stabilizers.",8.29,"118 mL Bottle",90,"https://imgur.com/3LQAGOL","Adults: take 10 mL every 4 hours; do not exceed 60 mL/day.",TRUE,2025-10-28T21:50:00Z,2025-10-28T21:50:00Z,"cough,congestion,Robitussin"
110,6,Pepcid,Pepcid AC Famotidine 20 mg,"Pepcid AC helps relieve and prevent heartburn by reducing stomach acid production. Provides up to 12 hours of relief.","Famotidine 20 mg plus microcrystalline cellulose, talc, and starches.",10.99,"50 Tablets",75,"https://imgur.com/sW5A8RS","Adults: take 1 tablet to relieve or prevent heartburn; max 2 tablets/day.",TRUE,2025-10-28T21:50:00Z,2025-10-28T21:50:00Z,"heartburn,famotidine,Pepcid"
111,6,Culturelle,Culturelle Daily Probiotic 10 Billion CFU,"Culturelle Daily Probiotic helps restore digestive balance and supports immune health using the clinically studied LGG strain.","Lactobacillus rhamnosus GG (10 billion CFU) plus potato starch, HPMC capsule, magnesium stearate.",19.99,"30 Capsules",60,"https://imgur.com/lmDTqot","Adults: take 1 capsule daily with or without food.",TRUE,2025-10-28T21:50:00Z,2025-10-28T21:50:00Z,"probiotic,digestive health,Culturelle"
112,2,Mucinex,Mucinex 12 Hour Extended Release Tablets 600 mg,"Mucinex 12 Hour provides extended-release expectorant relief to thin and loosen mucus, helping clear chest congestion and improve breathing for up to 12 hours.","Guaifenesin 600 mg (ER) plus carbomer, magnesium stearate, microcrystalline cellulose, and color additives.",14.99,"20 Tablets",100,"https://imgur.com/SwLr76H","Adults and children 12+: take 1–2 tablets every 12 hours; do not exceed 4 tablets/day. Swallow whole; do not crush or chew.",TRUE,2025-10-28T21:50:00Z,2025-10-28T21:50:00Z,"Mucinex,expectorant,guaifenesin"
113,2,Afrin,Afrin Original Nasal Spray,"Afrin provides fast-acting nasal congestion relief for up to 12 hours by shrinking swollen nasal passages.","Oxymetazoline HCl 0.05% plus preservatives and stabilizers.",6.79,"15 mL Bottle",110,"https://imgur.com/3Hut5WV","Use 2–3 sprays per nostril every 10–12 hours; max 2 doses/day.",TRUE,2025-10-28T21:50:00Z,2025-10-28T21:50:00Z,"decongestant,nasal spray,Afrin"
114,7,Band-Aid,Band-Aid Adhesive Bandages Variety Pack,"Band-Aid adhesive bandages protect minor cuts and scrapes using a non-stick pad and secure adhesive backing.","Flexible fabric/plastic backing, nonstick pad, acrylic adhesive.",5.99,"100 Count",400,"https://imgur.com/nKGAn7S","Apply to clean, dry skin. Replace daily or when dirty.",TRUE,2025-10-28T21:50:00Z,2025-10-28T21:50:00Z,"wound care,bandages,Band-Aid"
115,7,BZK Wipes,BZK Antiseptic Towelettes 100 Count,"BZK Antiseptic Towelettes help clean minor cuts and reduce bacteria before bandaging. Convenient for home, travel, and first-aid kits.","Benzalkonium chloride solution plus water, wetting agents, stabilizers.",10.49,"100 Wipes",220,"https://imgur.com/1NUfoXC","Clean affected area; allow to dry before applying a bandage.",TRUE,2025-10-28T21:50:00Z,2025-10-28T21:50:00Z,"antiseptic,wipes,first aid"
116,3,Nature Made,Nature Made Vitamin D3 2000 IU,"Nature Made Vitamin D3 supports immune health, bone strength, and muscle function using the preferred form of vitamin D.","Vitamin D3 50 mcg (2000 IU) plus soybean oil, gelatin, glycerin, water.",18.99,"250 Softgels",150,"https://imgur.com/h3qg5U6","Adults: take 1 softgel daily with a meal.",TRUE,2025-10-28T21:50:00Z,2025-10-28T21:50:00Z,"vitamin D3,immune support,bone health"
117,4,Unisom,Unisom SleepTabs Doxylamine 25 mg,"Unisom SleepTabs help with occasional sleeplessness by reducing the time it takes to fall asleep.","Doxylamine succinate 25 mg plus cellulose, magnesium stearate, and sodium starch glycolate.",7.99,"32 Tablets",70,"https://imgur.com/U7UnCw5","Adults and children 12+: take 1 tablet 30 minutes before bed.",TRUE,2025-10-28T21:50:00Z,2025-10-28T21:50:00Z,"sleep aid,Unisom,doxylamine"
118,6,Dramamine,Dramamine Motion Sickness Tablets,"Dramamine helps prevent and relieve nausea, dizziness, and vomiting associated with motion sickness.","Dimenhydrinate 50 mg plus starches, magnesium stearate, lactose.",5.49,"12 Tablets",50,"https://imgur.com/cP8hHex","Take 1–2 tablets 30 minutes before travel; do not exceed 8 tablets/day.",TRUE,2025-10-28T21:50:00Z,2025-10-28T21:50:00Z,"motion sickness,nausea,Dramamine"
119,6,TUMS,TUMS Extra Strength 750 mg,"TUMS Extra Strength provides fast relief from heartburn, sour stomach, and acid indigestion.","Calcium carbonate 750 mg plus sweeteners, flavors, colors.",6.29,"80 Tablets",140,"https://imgur.com/gBz6A6t","Chew 2–4 tablets as symptoms occur. Do not exceed label maximum.",TRUE,2025-10-28T21:50:00Z,2025-10-28T21:50:00Z,"TUMS,antacid,heartburn"
120,7,Systane,Systane Ultra Lubricant Eye Drops,"Systane Ultra provides long-lasting moisture relief for dry, irritated eyes caused by environment, screen time, or contact lenses.","Glycerin 0.3%, Hypromellose 0.2% plus buffering agents, purified water.",9.79,"15 mL Bottle",85,"https://imgur.com/BIjAm2T","Instill 1–2 drops in affected eye(s) as needed.",TRUE,2025-10-28T21:50:00Z,2025-10-28T21:50:00Z,"dry eye,eye drops,Systane"